Dodic,Nomenclature
C357,""" 3 IN 50 CAL SUBASSY SPOTTER-T MK33 F/VT FZ"""
C373,""" 3 IN 50 CAL VT-NF MK36 MODS"""
C375,""" 3 IN 50 CAL VT-NF MK36 MODS"""
C379,"""CTG MORTAR, 120MM HE M934"""
C380,""" 120MM APFSDS-T M829A1; “DU”"""
C382,""" 84MM HE FFV441B FOR RAAWS"""
C383,""" 84MM HEAT FFV551 FOR RAAWS"""
C384,""" 84MM ILLUM FFV545B FOR RAAWS"""
C385,""" 84MM SMK FFV469B FOR RAAWS"""
C386,""" 84MM TP FFV552 FOR RAAWS"""
C387,""" 84MM HEDP FFV502 FOR RAAWS"""
C395,"""CANISTER, SMK GRN M2 F/ 105MM M84"""
C396,"""CANISTER, SMK HC M1 F/CTG 105MM M84"""
C397,"""CANISTER, SMK RED M2 F/CTG 105MM M84"""
C399,"""CANISTER, SMK YLW M2 F/CTG 105MM M84"""
C410,""" 90MM CANISTER APERS M590"""
C422,"""TRACER, F/CTG 105MM APDS-T M728 PROJ"""
C429,""" 105MM HEP-T M393A1/E1"""
C430,""" 105MM HE M1 W/O FUZE"""
C431,""" 105MM SMK WP M60"""
C432,""" 105MM HE M1 MOD W/PD FUZE M557"""
C433,""" 105MM SMK WP M60A2"""
C434,"""CHG, PROP 105MM M1"""
C435,"""CHG, PROP 105MM M6"""
C436,"""CHG, PROP 105MM M67"""
C437,"""CHG, PROP 105MM"""
C440,""" 105MM BLANK M395"""
C443,""" 105MM HE M1 W/MTSQ FUZE"""
C444,""" 105MM HE M1 W/PD FUZE"""
C445,""" 105MM HE M1 W/O FUZE"""
C446,""" 105MM HEAT M67"""
C448,""" 105MM HEP-T M327/T81E17/E28"""
C448,""" 105MM HEP-T M327/T81E28"""
C449,""" 105MM ILLUM M314/A1/A2/A3"""
C450,""" 105MM LEAFLET M84"""
C451,""" 105MM SMK GRN M84 SER"""
C452,""" 105MM SMK HC *"""
C453,""" 105MM SMK RED M84 SER"""
C454,""" 105MM SMK WP M60A2 SER"""
C455,""" 105MM SMK YLW M84 SER"""
C457,""" 105MM TP-T M67"""
C462,""" 105MM HE APERS ICM M444"""
C463,""" 105MM HE R XM548"""
C464,""" 105MM HE M323"""
C468,""" 105MM CS XM/M629"""
C473,""" 105MM HE M760 (1315)"""
C474,"""CHG ASSY, EXPULSION F/105MM"""
C477,""" 105MM SMK WP M60A2"""
C479,""" 105MM SMK HC M84A1"""
C484,""" 81MM IR ILLUM M816"""
C494,""" 105MM APDS-T M728"""
C496,""" 105MM HE M323"""
C498,""" 105MM HEP-T M326"""
C503,""" 105MM TP-T M393A1"""
C505,""" 105MM APDS-T M392A2"""
C506,""" 105MM APDS-T M392/L36A1"""
C507,""" 105MM TP-T M393A1"""
C508,""" 105MM HEAT-T-MP M456/E1/A1/A2"""
C510,""" 105MM TP-T M467"""
C511,""" 105MM TP-T M490 & E1/A1"""
C512,""" 105MM SMK WP-T M416"""
C513,""" 105MM APERS-T M546"""
C518,""" 105MM HEP-T M393A2"""
C519,""" 105MM APERS-T M494"""
C520,""" 105MM TPDS-T M724A1"""
C521,""" 105MM APFSDS-T M735"""
C521,""" 105MM APFSDS-T M735"""
C523,""" 105MM APFSDS-T M774; “DU”"""
C524,""" 105MM APFSDS-T M833; “DU”"""
C540,""" 105MM SMK HC M84A1"""
C541,""" 105MM ILLUM M314A/A3"""
C542,""" 105MM ILLUM M314A2E1/A3"""
C543,""" 105MM, APFSDS-T, M900; “DU”"""
C544,""" 105MM HERA M927"""
C546,""" 105MM HERA M913"""
C601,""" 90MM CANISTER APERS M377"""
C623,"""CTG MORTAR, 120MM HE M933"""
C624,"""CTG MORTAR, 120MM SMK WP XM/M929"""
C625,"""CTG MORTAR, 120MM ILLUM M930"""
C650,""" 106MM HEAT M344/A1"""
C651,""" 106MM HEP-T M346/A1"""
C653,""" 106MM M344/A1 W/INERT LOADED PROJ"""
C660,""" 106MM APERS-T XM/M581"""
C697,""" 4.2 IN HE M329A2 W/SCRUBBER"""
C699,""" 4.2 IN HE M329A2 W/O FUZE"""
C704,""" 4.2 IN HE M329/A2, W/FUZE PD, M557"""
C705,""" 4.2 IN HE M329/A1"""
C706,"""CTG. 4.2 IN ILLUM M335 SERIES"""
C706,"""CTG. 4.2 IN ILLUM M335 SERIES"""
C707,""" 4.2 IN SMK FS M2A1"""
C708,""" 4.2 IN SMK WP M2/M328 SERIES"""
C709,"""CHG, PROP M6 F/4.2 IN"""
C710,""" 4.2 IN TACT CS XM/M630"""
C713,""" IGNITION M2 F/4.2 IN"""
C718,"""CHG ASSY, EXPULSION"""
C750,"""BURSTER, PROJ M40E1/A1"""
C751,"""BURSTER, PROJ XM/M53/A1"""
C752,"""BURSTER, PROJ M35"""
C784,""" 120MM TP-T XM/M831/A1/E2"""
C785,""" 120MM TPCSDS-T M865"""
C786,""" 120MM APFSDS-T M829; “DU”"""
C787,""" 120MM HEAT-MP-T M830"""
C788,"""CTG MORTAR, 120MM HE M57"""
C789,"""CTG MORTAR, 120MM SMK WP M68"""
C790,"""CTG MORTAR, 120MM ILLUM M91"""
C791,""" 120MM HEAT-MP-T M830E1/A1"""
C792,""" 120MM APFSDS-T M829A2; “DU”"""
C800,"""PROJ & PROP CHG, 120MM HE M356"""
C801,"""PROJ & PROP CHG, 120MM HE M356"""
C802,"""PROJ & PROP CHG, 120MM AP-T T116E5/6/7 M358"""
C804,"""PROJ & PROP CHG, 120MM TP-T T147E7 M359"""
C805,"""PROJ & PROP CHG, 120MM SMK WP T16E1"""
C806,"""PROJ & PROP CHG, 120MM SMK WP-T T16E3"""
C850,""" 81MM CHAFF EX133-0"""
C851,""" 81MM CHAFF EX134-0"""
C852,""" 81MM CHAFF EX135-0"""
C855,""" 81MM APERS MK120-0"""
C868,""" 81MM HE *"""
C869,""" 81MM HE M889A1"""
C869,""" 81MM HE M889"""
C870,""" 81MM SMK RP M819"""
C870,""" 81MM SMK RP M819, W/FUZE MTSQ, M772 W/GAMS"""
C871,""" 81MM ILLUM M853/A1"""
C873,"""CHG, PROP 4.2 IN"""
C875,""" 81MM PRAC M879"""
C876,""" 81MM PRAC SR M880"""
C990,""" IGNITION M299 F/81MM"""
C995,"""CTG & LAUNCHER, 84MM M136 AT-4"""
DA03,"""PROJ, 5 IN 54 CAL HE MK169-0 (1320)"""
DA04,"""PROJ, 5 IN 54 CAL HE MK168-0"""
DA05,"""PROJ, 5 IN 54 CAL HE MK176-0"""
DA06,"""PROJ, 5 IN 54 CAL COLOR BURST MK170-0"""
DA07,"""PROJ, 5 IN 54 CAL HE MK174-0/3/4"""
DA08,"""PROJ, 5 IN 54 CAL HE MK174-1"""
DA09,"""PROJ, 5 IN 54 CAL HE MK174-2"""
DA10,"""PROJ, 5 IN 54 CAL HE-MF MK175-0"""
DA11,"""PROJ, 5 IN 54 CAL NF-MF MK177-0"""
DA12,"""CHG, PROP 155MM XM/M231 MACS, 4 EA/CNTR"""
DA13,"""CHG, PROP 155MM XM/M232/A1 MACS, 5 EA/CNTR"""
DA15,"""PROJ, 5 IN 54 CAL KE-ET MK182-0"""
DA18,"""BURSTER, PROJ M54A1"""
DA19,"""PROJ, 155MM HE XM/M1025"""
DA20,"""PROJ, 155MM HE XM/M1023"""
DA21,"""PROJ, 155MM HE XM/M1024"""
DA22,"""PROJ, 155MM HE XM/M1026"""
DA34,"""PROJ, 5 IN 54 CAL HI-FRAG HE-ET MK179-0"""
DA37,"""PROJ, 5 IN 54 CAL HE-CVT MK158-1"""
DA38,"""PROJ, 5 IN 54 CAL HE-PD/D MK160-1"""
DA39,"""PROJ, 155MM HE XM982/M982 EXCALIBUR"""
DA40,"""PROJ, 5 IN 54 CAL ILLUM MK176-0"""
DA45,"""PROJ, 155MM HE M982 EXCALIBUR"""
DA48,"""PROJ, 5 IN 54 CAL HE-MOF, MK 186 MOD 0"""
DA49,"""PROJ, 155MM IR ILLUM, M1066"""
DA51,"""PROJ, 155MM HE, M1122,"""
DA53,"""PROJ, 5 IN 54 CAL HE-MF, MK 187 MOD 0"""
DA54,"""PROJ, 155MM HE M795 (IMX-101)"""
DA56,"""PROJ, 155MM, INFRARED (IR) M1123"""
DA57,"""PROJ, 155MM, VISIBLE LIGHT (VL)  M1124"""
DA58,"""PROJ, 155MM, PRECISION GUIDED M982A1"""
DWBS,"""CHG, DIVERSIONARY MK141-0 (1375)"""
DWBU,"""TELEMETERING SYSTEM, GM SEC, MK 13-1"""
DWCH,"""FLARE, DECOY/COUNTERMEASURE MJU-36/B (1320)"""
DWCM,""" DECOY ELECTRONIC MK 141-0"""
DWCN,"""DETONATOR, TRUNKLINE, MK 149-0 (1375)"""
DWCV,""" DECOY ELECTRONIC MK 234-0"""
DWDC,"""CHG, PROP 5 IN 62 CAL MK167-0"""
DWEA,"""INITIATOR, CAD MK273-0; “S/S LIFE ITEM” (1377)"""
DWEC,""" 12 GAGE MK277-0 EOD USE (1385)"""
DWED,""" 12 GAGE MK279-0 EOD USE (1385)"""
DWEE,""" 12 GAGE MK280-0 EOD USE (1385)"""
DWEF,"""SIGNAL, MARINE SMOKE MK145-0 (1370)"""
DWEJ,"""DETONATOR, DELAY MK156-0 (1375)"""
DWEK,"""DETONATOR, DELAY MK157-0 (1375)"""
DWEL,"""DETONATOR, DELAY MK158-0 (1375)"""
DWEM,"""DETONATOR, DELAY MK159-0 (1375)"""
DWEN,"""DETONATOR, DELAY MK160-0 (1375)"""
DWER,""" 12 GAGE MK284-0 EOD USE (1385)"""
DWFJ,"""CHARGE, ACCESS MK177-0 EOD USE (1385)"""
DWFK,"""CHARGE, ACCESS MK178-0 EOD USE (1385)"""
DWFN,"""CAP, BLAST ELEC MK17-0 EOD USE (1375)"""
DWFQ,""" DECOY ELECTRONIC MK 234-3"""
DWFR,""" DECOY ELECTRONIC MK 234-4"""
DWFU,"""ACOUSTIC DEVICE COUNTERMEASURE (ADC) MK 2-3"""
DWFX,"""ACOUSTIC DEVICE COUNTERMEASURE (ADC) MK 2-2"""
DWFP,"""CAP, BLAST ELEC MK17-1 EOD USE (1375)"""
DWGB,"""POWDER BAG CNTR ASSY EOD USE (1385)"""
DWGF,""" DECOY ELECTRONIC MK 234 (ECM-LITE) MOD 5"""
DWGG,""" DECOY ELECTRONIC MK 234-6"""
DWGK,"""ADAPTER, MK183-0"""
DWGL,"""ACCESSORY KIT, MK34-0"""
DWGU,"""TAIL CHG ASSY, EFSS F/120MM MORTAR"""
DWGW,""" .40 CAL MK308-0"""
DWGX,""" .40 CAL MK309-0"""
DWHH,"""CAP, BLASTING ELECTRIC MK18 MOD 0 (1375)"""
DW08,"""PROJ, 5 IN 54 CAL HE EX76-0 (SEE D356)"""
DW29,"""GM, TRNG AIM-7E-2 SPARROW (6920)"""
DW31,"""GM, TRNG AIM-7E-2 SPARROW (6920)"""
DX02,"""CHG, SUPPLEMENTARY"""
D003,"""CHG, SPOTTING F/155MM & 8 IN"""
D010,"""CHG ASSY, EXPULSION XM172 F/8 IN"""
D017,"""CHG ASSY, EXPULSION M404 F/8 IN"""
D018,"""CHG ASSY, EXPULSION M449A1 F/155MM"""
D026,"""CHG ASSY, EXPULSION F/5 IN 38/54 CAL"""
D028,"""CHG ASSY, EXPULSION F/155MM"""
D030,"""CHG ASSY, EXPULSION F/155MM"""
D031,"""CHG ASSY, EXPULSION F/5 IN 38/54 CAL"""
D061,"""PROJ, 155MM HE M898 SADARM"""
D150,"""BURSTER, PROJ M30 F/5 IN 38 CAL"""
D151,"""BURSTER, PROJ M71 F/155MM"""
D152,"""BURSTER, PROJ XM54"""
D153,"""BURSTER, PROJ M83"""
D156,"""BURSTER, PROJ M6 F/155MM"""
D195,"""CANISTER, SMK WP M5 F/5 IN 38 CAL"""
D203,"""CHG, PROP CLEARING F/5 IN 25 CAL"""
D204,""" 5 IN 25 CAL HC"""
D216,"""PROJ, 5 IN 38 CAL NF MK31/35/49 MODS"""
D217,"""PROJ, 5 IN 38 CAL AAC MK52-0 *"""
D220,"""PROJ, 5 IN 38 CAL TP MK52-0"""
D221,"""PROJ, 5 IN 38 CAL TP MK52-0"""
D225,"""PROJ, 5 IN 38 CAL HE-CVT MK56-0/66-0"""
D226,"""PROJ, 5 IN 38 CAL HE-VT MK35/47/49 MODS/94-0"""
D227,"""CHG, PROP CLEARING F/5 IN 38 CAL"""
D228,"""PROJ, 5 IN 38 CAL HE-VT MK35/47/49 MODS/51-0"""
D229,""" 5 IN 38 CAL BLANK SALUTING MK5-0"""
D230,"""PROJ, 5 IN 38 CAL AAC MK52 MODS/56-0"""
D230,"""PROJ, 5 IN 38 CAL AAC MK35/47/49/52 MODS/56-0/66-0"""
D232,"""PROJ, 5 IN 38 CAL HE-VT MK35/47/49 MODS"""
D233,"""PROJ, 5 IN 38 CAL HE-VT MK35/47/49 MODS (1320)"""
D235,"""PROJ, 5 IN 38 CAL HC VARIOUS MKS & MODS"""
D237,"""PROJ, 5 IN 38 CAL COMMON MK32/38"""
D238,"""PROJ, 5 IN 38 CAL HE-PD MK35/47/49/52"""
D241,"""PROJ, 5 IN 38 CAL HE-MTF MK35/47/49"""
D242,"""PROJ, 5 IN 38 CAL HC MK52 *"""
D243,"""PROJ, 5 IN 38 CAL HE-MTF MK35/47/49/51/66"""
D244,"""PROJ, 5 IN 38 CAL ILLUM MK12/30/44/50/87"""
D245,"""PROJ, 5 IN 38 CAL HE-PD MK51/66/120"""
D246,"""PROJ, 5 IN 38 CAL SMK WP MK30/44/45/50/73"""
D247,"""PROJ, 5 IN 38 CAL SMK WP MK30/44/50/74"""
D248,"""PROJ, 5 IN 38 CAL VT-NF MK31/35/47/49/51/52"""
D249,"""PROJ, 5 IN 38 CAL VT-NF MK31/35/49/51/52"""
D250,"""PROJ, 5 IN 38 CAL VT-NF MK31/35/47/49/51"""
D251,"""PROJ, 5 IN 38 CAL VT-NF MK31/35/49/51/52"""
D255,"""PROJ, 5 IN 38 CAL ILLUM MK30/44/50/87"""
D256,"""PROJ, 5 IN 38 CAL ILLUM MK87-3"""
D259,"""PROJ, 5 IN 38 CAL HE VT MK34/35/47/49 MODS"""
D260,"""PROJ, 5 IN 38 CAL HE RCKT ASST MK57-0"""
D261,"""PROJ, 5 IN 38 CAL HE RCKT ASST MK57-1"""
D262,"""PROJ, 5 IN 38 CAL HE RCKT ASST MK57-2"""
D264,"""CHG, PROP 5 IN 38 CAL FULL"""
D267,"""PROJ. 5 IN 38 CAL BL-DP MK31/34/35/38/46/49/51/52/110"""
D271,"""PROJ, 8 IN  MK20 MODS"""
D272,"""CHG, PROP 5 IN 38 CAL FULL"""
D274,"""CHG, PROP 5 IN 38 CAL FULL"""
D280,"""PROJ, 5 IN 38 CAL HE MK35/47/49/51/119/154"""
D281,"""PROJ, 5 IN 38 CAL SMK WP MK50-0"""
D282,"""CHG, PROP 5 IN 38 CAL REDUCED"""
D286,"""PROJ, 5 IN 38 CAL CHAFF MK44/50/78"""
D287,"""PROJ, 5 IN 38 CAL CHAFF MK44/50"""
D289,"""PROJ, 5 IN 38 CAL HE-CVT MK35/47/49/51/155"""
D290,"""PROJ, 5 IN 54 CAL TP MK41/97"""
D291,"""PROJ, 5 IN 54 CAL TP MK41/96"""
D292,"""PROJ, 5 IN 38 CAL HE MK35/47/49/52/61/66/99"""
D295,"""PROJ, 5 IN 54 CAL HE MK55/64/65/127"""
D296,"""CHG, PROP 5 IN 38/54 CAL CLEARING *"""
D297,"""CHG, PROP 5 IN 54 CAL REDUCED"""
D298,"""PROJ, 5 IN 38 CAL SMK WP MK30/44/50/147"""
D299,"""PROJ, 5 IN 38 CAL TEST ASSY F/NATO SHAPE FUZE"""
D300,"""CHG, PROP 5 IN 54 CAL FULL"""
D304,"""CHG, PROP 5 IN 54 CAL FULL"""
D305,"""CHG, PROP 5 IN 54 CAL FULL"""
D306,"""CHG, PROP 5 IN 38 CAL CLEARING"""
D307,"""PROJ, 5 IN 54 CAL BLANK SALUTING MK6-0"""
D309,"""CHG, PROP 5 IN 54 CAL FULL"""
D310,"""CHG, PROP 5 IN 54 CAL FULL"""
D311,"""PROJ, 5 IN 54 CAL CHAFF MK48-1"""
D312,"""PROJ, 5 IN 54 CAL CHAFF MK48-1/79-0"""
D313,"""PROJ, 5 IN 54 CAL SMK WP MK48-1/89-0"""
D314,"""PROJ, 5 IN 54 CAL SMK WP MK48-1/90-0 (1320)"""
D316,"""PROJ, 5 IN 54 CAL HE MK41-0"""
D317,"""PROJ, 5 IN 54 CAL HE MK41-0"""
D319,"""PROJ, 5 IN 54 CAL AAC MK41/61"""
D320,"""PROJ, 5 IN 54 CAL HC MK41 MODS"""
D322,"""PROJ, 5 IN 54 CAL COMMON MK42 MODS"""
D324,"""CHG, PROP 5 IN 54 CAL FULL"""
D325,"""PROJ, 5 IN 54 CAL HE RCKT ASST MK58"""
D326,"""CHG, PROP 5 IN 54 CAL FULL"""
D327,"""PROJ, 5 IN 54 CAL HE-IR MK41/107/156"""
D328,"""PROJ, 5 IN 54 CAL ILLUM MK48-0"""
D330,"""PROJ, 5 IN 54 CAL HE MK41/64/80"""
D330,"""PROJ, 5 IN 54 CAL HE MK41/55/61/64"""
D331,"""PROJ, 5 IN 54 CAL HE MK64-0"""
D332,"""PROJ, 5 IN 54 CAL HE MK64/116/159"""
D333,"""PROJ, 5 IN 54 CAL COLOR BURST MK41/64"""
D334,"""PROJ, 5 IN 54 CAL COLOR BURST MK41/64/100"""
D334,"""PROJ, 5 IN 54 CAL COLOR BURST MK41-0"""
D337,"""PROJ, 5 IN 54 CAL COLOR BURST MK64-0"""
D338,"""PROJ, 5 IN 54 CAL HE MK115-0 & MK 173-0"""
D339,"""PROJ, 5 IN 54 CAL HC MK108-1 & 2"""
D340,"""PROJ, 5 IN 54 CAL HE MK82-0"""
D342,"""PROJ, 5 IN 54 CAL HE MK84-0/1"""
D343,"""PROJ, 5 IN 54 CAL HE MK83-0"""
D345,"""CHG, PROP 5 IN 54 CAL FULL CASED"""
D346,"""PROJ, 5 IN 54 CAL HE HI-FRAG MK81-0"""
D347,"""PROJ, 5 IN 54 CAL HE HI-FRAG MK86-0"""
D350,"""PROJ, 5 IN 54 CAL HE MK41-0, MK157 MODS"""
D353,"""PROJ, 5 IN 54 CAL ILLUM MK48 MODS/MK88 MODS"""
D354,"""PROJ, 5 IN 54 CAL ILLUM MK91-0"""
D356,"""PROJ, 5 IN 54 CAL HE EX76-0 (SEE DW08)"""
D361,"""CHG, PROP 175MM M86/A2"""
D368,"""CHG, PROP 6 IN 47 CAL CLEARING"""
D369,"""CHG, PROP 6 IN 47 CAL FULL CASED"""
D370,"""CHG, PROP 6 IN 47 CAL FULL CASED"""
D371,"""CHG, PROP 6 IN 47 CAL REDUCED CASED"""
D372,"""CHG, PROP 6 IN 47 CAL REDUCED CASED"""
D375,"""CHG, PROP 6 IN 47 CAL FULL CASED"""
D376,"""CHG, PROP 6 IN 47 CAL FULL CASED"""
D377,"""CHG, PROP 6 IN 47 CAL REDUCED CASED"""
D378,"""CHG, PROP 6 IN 47 CAL REDUCED CASED"""
D380,""" 152MM TP-T M411/XM411E3"""
D381,""" 152MM HEAT-T XM/M409 SERIES"""
D383,""" 152MM TP-T *"""
D390,""" 152MM CANISTER APERS M625 SERIES"""
D394,"""PROJ, 6 IN  MK35 MODS"""
D400,"""PROJ, 6 IN AAC MK39 MODS"""
D401,"""PROJ, 6 IN HC MK39 MODS"""
D402,"""PROJ, 6 IN HC MK34 MODS"""
D403,"""PROJ, 6 IN ILLUM MK41-0"""
D406,"""PROJ, 6 IN HC MK34 MODS"""
D407,"""PROJ, 6 IN HC MK34 MODS"""
D443,"""PROJ, 6 IN HE MK39 MODS"""
D445,"""CANISTER, SMK HC M1 F/155MM M116"""
D446,"""CANISTER, SMK GRN M3 F/155MM M116"""
D447,"""CANISTER, SMK RED M3 F/155MM M116"""
D449,"""CANISTER, SMK YLW M3 F/155MM M116"""
D450,"""CANISTER, SMK HC M2 F/155MM M116"""
D451,"""CANISTER, SMK GRN M4 F/155MM M116"""
D452,"""CANISTER, SMK RED M4 F/155MM M116"""
D453,"""CANISTER, SMK VIO M4 F/155MM M116"""
D454,"""CANISTER, SMK YLW M4 F/155MM M116"""
D479,"""CHG, PROP 152MM M189"""
D480,"""CHG, PROP 155MM M19"""
D485,"""PROJ, 155MM HE M101 (TNT)"""
D487,"""PROJ, 155MM SMK WP M104"""
D490,"""REDUCER, FLASH M1 F/155MM PROP CHG"""
D501,"""PROJ, 155MM HE ADAM M692"""
D502,"""PROJ, 155MM HE ADAM M731"""
D503,"""PROJ, 155MM HE RAAM-L M718"""
D505,"""PROJ, 155MM ILLUM M485 SERIES"""
D506,"""PROJ, 155MM SMK HC M116A1"""
D509,"""PROJ, 155MM HE RAAM-S M741"""
D510,"""PROJ, 155MM HEAT M712 (COPPERHEAD)"""
D513,"""PROJ, 155MM PRAC XM/M804"""
D513,"""PROJ, 155MM PRAC M804E1/A1"""
D514,"""PROJ, 155MM HE RAAM-S M741A1"""
D515,"""PROJ, 155MM HE RAAM-L M718A1"""
D528,"""PROJ, 155MM SMK WP M825 SERIES"""
D529,"""PROJ, 155MM HE M795 (TNT)"""
D532,"""CHG, PROP 155MM RB M203 SERIES"""
D533,"""CHG, PROP 155MM WB M119 SERIES W/O PRIMER"""
D534,"""CHG, PROP 155MM WB M119 SERIES W/PRIMER"""
D536,"""CHG, PROP 175MM GB M124 W/PRIMER"""
D540,"""CHG, PROP 155MM GB M3 SERIES"""
D541,"""CHG, PROP 155MM WB M4 SERIES"""
D544,"""PROJ, 155MM HE M107 (TNT)"""
D544,"""PROJ, 155MM HE M107 (COMP B)"""
D545,"""PROJ, 155MM ILLUM M118 SERIES"""
D547,"""PROJ, 155MM SMK GRN M116 SERIES"""
D548,"""PROJ, 155MM SMK HC M116"""
D549,"""PROJ, 155MM SMK RED M116 SERIES"""
D550,"""PROJ, 155MM SMK WP M110 SERIES"""
D551,"""PROJ, 155MM SMK YLW M116 SERIES"""
D552,"""REDUCER, FLASH M2 F/155MM PROP CHG"""
D554,"""PROJ, 155MM SMK VIO M116"""
D561,"""PROJ, 155MM HE APERS M449/449E1"""
D562,"""PROJ, 155MM HE APERS M449E2"""
D563,"""PROJ, 155MM HEDP ICM APERS M483 & A1"""
D569,"""PROJ, 155MM HE M101 (TNT)"""
D570,""" 165MM HEP M123A1 A-3"""
D571,"""PROJ, 155MM HE M107 (TNT)"""
D572,"""PROJ, 175MM HE M437A1 (TNT)/M437A2 (COMP B)"""
D579,"""PROJ, 155MM HERA M549A1 (TNT)"""
D579,"""PROJ, 155MM HERA M549 (COMP B)"""
D582,"""PROJ, 6 IN NF MK34 ALL MODS RED"""
D583,"""PROJ, 6 IN NF MK34 ALL MODS GRAY"""
D585,"""PROJ, 6 IN HE-VT MK34 ALL MODS (EXPL D)"""
D589,"""PROJ, 6 IN HE-CVT MK34 ALL MODS (EXPL D)"""
D590,""" 165MM TP XM623"""
D591,"""PROJ, 175MM HE M437A2 (COMP B)"""
D592,""" 152MM HE-T M657A2"""
D600,"""CHG, PROP 8 IN 55 CAL REDUCED"""
D601,"""CHG, PROP 8 IN 55 CAL FULL"""
D602,"""CHG, PROP 8 IN 55 CAL FULL"""
D603,"""CHG, PROP 8 IN 55 CAL REDUCED"""
D605,"""CHG, PROP 8 IN 55 CAL FULL"""
D606,"""CHG, PROP 8 IN 55 CAL REDUCED"""
D607,"""CHG, PROP 8 IN 55 CAL FULL"""
D608,"""CHG, PROP 8 IN 55 CAL FULL"""
D609,"""CHG, PROP 8 IN 55 CAL FULL"""
D610,"""CHG, PROP 8 IN 55 CAL FULL"""
D611,"""CHG, PROP 8 IN 55 CAL FULL"""
D615,"""CHG, PROP 8 IN 55 CAL REDUCED"""
D616,"""CHG, PROP 8 IN 55 CAL REDUCED"""
D617,"""CHG, PROP 8 IN 55 CAL CLEARING"""
D624,"""PROJ, 8 IN HERA M650"""
D625,"""PROJ, 8 IN 55 CAL  MK21-0/1/2/3/4/5"""
D627,"""PROJ, 8 IN 55 CAL HC SPEC MK24/25"""
D629,"""PROJ, 8 IN 55 CAL HC MK24/25"""
D630,"""PROJ, 8 IN 55 CAL HE MK24/25"""
D631,"""PROJ, 8 IN 55 CAL HC MK24/25"""
D633,"""PROJ, 8 IN 55 CAL  MK19 MODS"""
D634,"""PROJ, 8 IN 55 CAL HC MK24/25"""
D635,"""PROJ, 8 IN 55 CAL COMMON MK14/15/17"""
D637,"""PROJ, 8 IN BL-P/T MK21/22/27"""
D643,"""PROJ, 8 IN BL-P/T MK16/18/19"""
D651,"""PROJ, 8 IN HE DPICM XM/M509/509E1"""
D661,"""CHG, PROP 8 IN WB M188"""
D662,"""CHG, PROP 8 IN WB M188A1"""
D674,"""CHG, PROP 8 IN M80/T94"""
D675,"""CHG, PROP 8 IN GB M1"""
D676,"""CHG, PROP 8 IN WB M2"""
D680,"""PROJ, 8 IN HE M106"""
D681,"""REDUCER, FLASH M3 F/8” PROP CHG"""
D683,"""PROJ, 8 IN HE SPOTTING M424/E1"""
D684,"""PROJ, 8 IN HE APERS M404"""
D715,"""CHG, PROP 280MM M43"""
D803,"""PROJ, 5 IN 54 CAL HE MK158-0"""
D839,"""CHG, PROP 16 IN 50 CAL FULL BAGGED"""
D840,"""CHG, PROP 16 IN 50 CAL REDUCED BAGGED (6 SECT)"""
D845,"""CHG, PROP 16 IN 50 CAL REDUCED BAGGED (6 SECT)"""
D846,"""CHG, PROP 16 IN 50 CAL FULL CASED OR  BAGGED"""
D862,"""PROJ, 16 IN  MK8-6/7/8"""
D864,"""PROJ, 155MM HE ER DP M864 (BASEBURNER)"""
D872,"""PROJ, 16 IN  MK8-1/2/3/4/5"""
D874,"""PROJ, 16 IN 50 CAL HE MK145-1/3"""
D875,"""PROJ, 16 IN 50 CAL APERS MK19-0/144-0"""
D875,"""PROJ, 16 IN 50 CAL HE MK146-0/1/2"""
D877,"""PROJ, 16 IN 50 CAL HE MK143-0"""
D877,"""PROJ, 16 IN 50 CAL HE MK143-1"""
D878,"""PROJ, 16 IN 50 CAL HC MK13 MODS"""
D879,"""PROJ, 16 IN 50 CAL HC MK13/MK14 ALL MODS (1320)"""
D880,"""PROJ, 16 IN 50 CAL HC MK13 MODS"""
D881,"""PROJ, 16 IN 50 CAL BL-P/T MK9 MODS/18 MODS"""
D882,"""PROJ, 16 IN 50 CAL HC MK13 MODS/140-0"""
D884,"""PROJ, 5 IN 54 CAL HE MK160-0"""
EA02,"""BOMB, GP BLU-113A/B (1325)"""
EA03,"""BOMB, GP BLU-113/B"""
EA38,"""BOMB, GP 500 LB MK82-1"""
EA39,"""KIT, RETROFIT, FUZE PROX FMU-140A/B"""
EA41,"""GM, AIM-120D, INTERCEPT AERIAL (AMRAAM)"""
EA51,"""DISP & BOMB, ACFT CBU-97A/B"""
EA56,"""DISP & BOMB, ACFT CBU-99B/B ROCKEYE"""
EA57,"""DISP & BOMB, ACFT CBU-99(T-1)B/B"""
EA58,"""DISP & BOMB, ACFT CBU-100B/B ROCKEYE"""
EA59,"""DISP & BOMB, ACFT CBU-100(T-1)B/B)"""
EA85,"""DISP & BOMB, ACFT WCMD CBU-103A/B"""
EA86,"""DISP & BOMB, ACFT WCMD CBU-103B/B"""
EA87,"""DISP & BOMB, ACFT WCMD CBU-105/B"""
EA88,"""DISP & BOMB, ACFT WCMD CBU-105A/B"""
EA89,"""SENSOR FUZED WEAPON (SFW) CBU-105B/B"""
EB04,"""BOMB, GP 2000 LB BLU-117A/B TP"""
EB05,"""FUZE, BOMB NOSE & TAIL FMU-139B/B"""
EB23,"""BOLT, EXPL TAIL ASSY CBU-87"""
EB24,"""SENSOR FUZED WEAPON (SFW) CBU-105C/B"""
